specobjid,SOURCETYPE,RA,Dec,plate,ra,dec,objid,run,rerun,camcol,field,z,mjd,fiberID,run2d,wavelength,flux,g sn,r sn,i sn,red shift,red shift error,central wavelength
300760987395450880,GALAXY                   ,148.27844,1.2497718,267,148.278417048093,1.24974881685091,1237651752922710190,1462,301,2,153,0.0938159,51608,530,26,[3.5802 3.5803 3.5804 ... 3.9637 3.9638 3.9639],[ 5.9569697  5.633895   4.655338  ...  8.548685   9.093452  11.91222  ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300762636662892544,GALAXY                   ,148.05468,0.92452048,267,148.054676587701,0.924519356876647,1237651752385708176,1462,301,1,151,0.04688425,51608,536,26,[3.5802 3.5803 3.5804 ... 3.9637 3.9638 3.9639],[ 9.875107   5.0944295  4.9008317 ... 14.163145  14.894665  14.626938 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300762911540799488,GALAXY                   ,148.03551,0.929627,267,148.035530022741,0.929624540408428,1237651752385708168,1462,301,1,151,0.09365875,51608,537,26,[3.5803 3.5804 3.5805 ... 3.9637 3.9638 3.9639],[10.5817795  9.253562   6.795936  ... 14.130075  12.097612  14.23943  ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300767309587310592,GALAXY                   ,148.53515,0.33165732,267,148.535159080022,0.33165738618952,1237648721753800935,756,301,4,218,0.1108416,51608,553,26,[3.5802 3.5803 3.5804 ... 3.9637 3.9638 3.9639],[ 8.257161   3.411222   4.2283072 ... 13.477181  16.565498  17.371834 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300768683976845312,GALAXY                   ,148.50917,0.23923705,267,148.509172213142,0.239254904242363,1237648721753800919,756,301,4,218,0.06443697,51608,558,26,[3.5802 3.5803 3.5804 ... 3.9636 3.9637 3.9638],[ 8.245219   4.0572286  4.9850307 ... 28.615278  32.037643  30.990845 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300771157878007808,GALAXY                   ,148.32598,0.88944426,267,148.325988399372,0.88942492747969,1237651752385839379,1462,301,1,153,0.09498237,51608,567,26,[3.5804 3.5805 3.5806 ... 3.9636 3.9637 3.9638],[ 4.86596    4.4958224  5.262811  ...  9.630456  10.528584  10.485557 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300771982511728640,GALAXY                   ,148.35329,0.91225836,267,148.353285865484,0.912235405565926,1237651752385839394,1462,301,1,153,0.09564135,51608,570,26,[3.5804 3.5805 3.5806 ... 3.9636 3.9637 3.9638],[ 4.352254   3.3257666  2.4804676 ... 13.20234   15.418777  13.571288 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300776655436146688,GALAXY                   ,148.80088,0.67021018,267,148.80087372596,0.67022659437575,1237648722290802861,756,301,5,220,0.1253889,51608,587,26,[3.5808 3.5809 3.581  ... 3.9636 3.9637 3.9638],[-1.8455634  1.3728055  6.338302  ... 17.31653   17.198349  18.059744 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300779953971030016,GALAXY                   ,148.73256,0.44106498,267,148.732554668501,0.441040604086594,1237654670808776857,2141,301,5,41,0.2138558,51608,599,26,[3.5812 3.5813 3.5814 ... 3.9636 3.9637 3.9638],"[ 2.3357704  -0.18894805  5.064402   ... 12.297433   12.370199
 14.493099  ]",20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300781053482657792,GALAXY                   ,148.75745,0.96953324,267,148.757441057311,0.96952290338994,1237653663647662234,1907,301,1,174,0.0629528,51608,603,26,[3.5813 3.5814 3.5815 ... 3.9636 3.9637 3.9638],[ 7.130287 16.567728  4.840434 ... 18.252728 18.437729 16.545326],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300781878116378624,GALAXY                   ,148.56254,0.97277312,267,148.562596890901,0.972770660474922,1237650797294780614,1239,301,6,188,0.04620481,51608,606,26,[3.5814 3.5815 3.5816 ... 3.9636 3.9637 3.9638],[3.7007263 3.651621  0.1273968 ... 3.2173095 4.492944  3.5691895],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300784077139634176,GALAXY                   ,148.66655,1.0973026,267,148.666553277836,1.09730800886379,1237648722827608270,756,301,6,219,0.1608746,51608,614,26,[3.5816 3.5817 3.5818 ... 3.9636 3.9637 3.9638],[ 5.3916974  1.4669583  3.0249548 ... 11.1138115  8.260647  11.712903 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300784352017541120,GALAXY                   ,148.54049,0.76850027,267,148.54048363604,0.768493983005781,1237648722290671873,756,301,5,218,0.09006838,51608,615,26,[3.5817 3.5818 3.5819 ... 3.9636 3.9637 3.9638],[3.1951632  0.29964477 4.755487   ... 4.7705636  3.3440206  6.1061754 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300785726407075840,GALAXY                   ,148.69236,1.0759758,267,148.692362369682,1.0759874696045,1237648722827608286,756,301,6,219,0.06327522,51608,620,26,[3.5818 3.5819 3.582  ... 3.9636 3.9637 3.9638],[16.267801   2.53084    6.1079507 ... 19.061317  15.429134  22.030632 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300787925430331392,GALAXY                   ,148.96171,0.68728913,267,148.961713196259,0.687285905361288,1237648722290868490,756,301,5,221,0.09527842,51608,628,26,[3.5821 3.5822 3.5823 ... 3.9636 3.9637 3.9638],[ 8.536289   3.3820496  8.346451  ... 17.186396  18.044441  18.103212 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300790674209400832,GALAXY                   ,149.00909,0.44023281,267,149.009106295297,0.440208234829742,1237654670808907883,2141,301,5,43,0.08823899,51608,638,26,[3.5825 3.5826 3.5827 ... 3.9636 3.9637 3.9638],[10.473183  12.615978   3.551253  ...  7.41837    5.328722   6.9257045],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300791223965214720,GALAXY                   ,148.98243,0.22985176,267,148.982439656739,0.229872354459963,1237648721753997600,756,301,4,221,0.06247292,51608,640,26,[3.5826 3.5827 3.5828 ... 3.9636 3.9637 3.9638],[ 4.308703  7.482151  4.770581 ... 13.585167 12.06277  11.2211  ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
