specobjid,SOURCETYPE,RA,Dec,plate,ra,dec,objid,run,rerun,camcol,field,z,mjd,fiberID,run2d,wavelength,red shift,red shift error,flux,g sn,r sn,i sn,central wavelength
501136265765218304,GALAXY                   ,129.49068,51.772905,445,129.490706052262,51.772896977972,1237651252022411353,1345,301,5,157,0.1778202,51873,403,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 7.552911   5.1641574 10.02047   ...  9.081332   8.4148245  5.2891655],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501136540643125248,GALAXY                   ,129.43118,51.64174,445,129.431186771364,51.6417434425682,1237651252022345843,1345,301,5,156,0.002451277,51873,404,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[32.675083  31.451756  38.018295  ...  5.382586   2.4461446  2.1954   ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501136815521032192,GALAXY                   ,129.17042,51.750183,445,129.170450882589,51.7502140229404,1237651271350157522,1350,301,1,163,0.1240621,51873,405,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 9.109864   3.8794801  4.426064  ... 16.645006  14.098439  13.530166 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501137090398939136,QSO                      ,129.40176,51.751658,445,129.40178882905,51.7516569064762,1237651192431378455,1331,301,6,182,0.3820949,51873,406,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[31.363165  27.34347   25.759027  ...  7.7976646  5.715135   6.6989913],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501137365276846080,GALAXY                   ,129.41367,51.81944,445,129.413702239685,51.8194214147056,1237651271350223039,1350,301,1,164,0.1139756,51873,407,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 9.210175 13.494806 10.052826 ... 18.162315 14.965327 15.384795],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501137640154753024,GALAXY                   ,129.35466,51.887857,445,129.354700226549,51.8878172582073,1237651271350288584,1350,301,1,165,0.1146879,51873,408,26,[3.5813 3.5814 3.5815 ... 3.9643 3.9644 3.9645],[10.665673  17.710293   5.8253427 ... 22.592167  21.37907   19.243116 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501137915032659968,GALAXY                   ,129.48169,51.901587,445,129.481687571523,51.90155028766,1237651271350288638,1350,301,1,165,0.1088794,51873,409,26,[3.5813 3.5814 3.5815 ... 3.9643 3.9644 3.9645],[ 2.727708  9.650242 -4.997153 ... 13.948289 17.390251 12.255762],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501138189910566912,GALAXY                   ,129.35439,51.866918,445,129.354411577372,51.866884332745,1237651271350288579,1350,301,1,165,0.1145917,51873,410,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 6.244235  5.201095  8.894754 ... 19.645048 19.82023  18.991632],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501138464788473856,GALAXY                   ,129.17732,51.658729,445,129.177347103672,51.6587514553638,1237651271350157478,1350,301,1,163,0.1256261,51873,411,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 1.4268479  4.9116654  5.261354  ... 12.121684  10.061616   8.535822 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501138739666380800,GALAXY                   ,129.13055,51.46896,445,129.130604616153,51.4689652219611,1237651252022280297,1345,301,5,155,0.04965438,51873,412,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[31.567583 25.605452 17.601795 ... 89.823044 93.07938  96.33595 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
